"Date","hml_int_t100","hml_ime_t100","hml_int_t30","omk"
1984-05-31,-0.263,0.2102,-0.1139,0.2722
1984-06-30,-0.749,0.2619,-1.2429,-1.5069
1984-07-31,0.6471,0.3448,0.6903,-2.0142
1984-08-31,-1.1491,-1.7772,-1.8081,0.593
1984-09-30,3.1926,2.7856,4.2643,2.2038
1984-10-31,1.2352,2.2184,1.0758,1.1191
1984-11-30,1.6671,1.5263,2.7791,0.0471
1984-12-31,-0.137,-0.1965,-0.4177,-0.7662
1985-01-31,-3.154,-2.5825,-4.5046,-0.4486
1985-02-28,-0.0641,0.4216,0.0469,1.5642
1985-03-31,2.8496,3.5734,3.315,4.1674
1985-04-30,1.6268,1.6252,2.8145,2.5585
1985-05-31,0.9096,1.8078,0.3074,0.0991
1985-06-30,0.4824,0.7533,0.609,-0.015
1985-07-31,0.5587,-0.0184,-0.082,-1.5489
1985-08-31,0.7801,1.0727,1.3004,1.505
1985-09-30,2.8383,3.7503,2.6893,1.1144
1985-10-31,0.2907,1.087,0.9014,2.4911
1985-11-30,-1.0982,-1.1923,-2.3185,-3.8658
1985-12-31,0.1005,0.7466,-1.2773,-1.503
1986-01-31,0.1267,1.2576,-0.1254,-2.1877
1986-02-28,0.4705,1.4796,-0.2018,-3.0232
1986-03-31,0.9912,1.0421,0.9196,-2.3771
1986-04-30,-0.154,-0.6707,-2.031,4.2109
1986-05-31,0.1201,0.5469,1.0665,1.1076
1986-06-30,0.0816,0.8137,0.5023,0.3046
1986-07-31,0.3297,0.6138,1.0846,3.4958
1986-08-31,0.031,-0.259,2.1782,2.818
1986-09-30,2.6064,1.8525,4.5558,1.3173
1986-10-31,0.5219,0.7161,0.3299,-3.0097
1986-11-30,-0.1694,0.0079,-0.0702,-0.388
1986-12-31,0.0103,0.368,0.0588,2.4609
1987-01-31,-1.9396,-3.2033,-1.6076,-1.6492
1987-02-28,-0.7391,-0.6605,-2.7979,-1.4767
1987-03-31,0.5376,0.2194,3.012,1.3259
1987-04-30,1.2678,0.5982,1.3439,-2.7201
1987-05-31,1.5073,1.6893,1.057,2.2709
1987-06-30,1.4065,2.1564,2.259,3.023
1987-07-31,3.2676,2.0221,2.1953,-3.7969
1987-08-31,-1.7954,-1.3062,-1.9538,-1.1875
1987-09-30,0.5795,0.5888,0.7576,-0.3892
1987-10-31,-1.305,-1.0192,-0.9245,5.4724
1987-11-30,0.3816,0.3797,1.3472,-1.5572
1987-12-31,-0.4157,-1.3979,-1.1981,-1.3602
1988-01-31,5.0866,4.3929,4.4502,6.6093
1988-02-29,1.728,1.6049,2.0659,-1.6302
1988-03-31,2.2399,2.2975,2.9797,1.7901
1988-04-30,1.6664,1.3069,2.8134,0.9342
1988-05-31,0.4994,0.4688,1.3166,0.0886
1988-06-30,-0.3949,-1.3551,-0.2207,-5.1787
1988-07-31,1.9556,2.122,2.0583,1.3683
1988-08-31,2.0945,1.9158,1.8643,2.3935
1988-09-30,0.3245,0.3744,0.2978,0.0813
1988-10-31,0.9769,0.5343,1.9729,2.4999
1988-11-30,-0.1657,-0.4501,0.743,-1.4063
1988-12-31,-0.238,0.4275,-1.1998,-0.4057
1989-01-31,0.9896,0.8784,0.9086,-1.3137
1989-02-28,1.2402,0.8124,1.3312,0.322
1989-03-31,1.3139,2.46,0.9923,2.9845
