ind12,ind12_l,ind12_h
1,100,999
1,2000,2399
1,2700,2749
1,2770,2799
1,3100,3199
1,3940,3989
2,2500,2519
2,2590,2599
2,3630,3659
2,3710,3711
2,3714,3714
2,3716,3716
2,3750,3751
2,3792,3792
2,3900,3939
2,3990,3999
3,2520,2589
3,2600,2699
3,2750,2769
3,3000,3099
3,3200,3569
3,3580,3629
3,3700,3709
3,3712,3713
3,3715,3715
3,3717,3749
3,3752,3791
3,3793,3799
3,3830,3839
3,3860,3899
4,1200,1399
4,2900,2999
5,2800,2829
5,2840,2899
6,3570,3579
6,3660,3692
6,3694,3699
6,3810,3829
6,7370,7379
7,4800,4899
8,4900,4949
9,5000,5999
9,7200,7299
9,7600,7699
10,2830,2839
10,3693,3693
10,3840,3859
10,8000,8099
11,6000,6999
