ind17,ind17_l,ind17_h
17,2720,2729
17,2730,2739
17,2740,2749
17,2750,2759
17,2760,2761
17,2770,2771
17,2780,2789
17,2790,2799
17,2835,2835
17,2836,2836
17,2990,2999
17,3000,3000
17,3010,3011
17,3041,3041
17,3050,3053
17,3160,3161
17,3170,3171
17,3172,3172
17,3190,3199
17,3220,3221
17,3229,3229
17,3230,3231
17,3260,3260
17,3262,3263
17,3269,3269
17,3295,3299
17,3537,3537
17,3640,3644
17,3645,3645
17,3646,3646
17,3647,3647
17,3648,3649
17,3660,3660
17,3661,3661
17,3662,3662
17,3663,3663
17,3664,3664
17,3665,3665
17,3666,3666
17,3669,3669
17,3840,3849
17,3850,3851
17,3991,3991
17,3993,3993
17,3995,3995
17,3996,3996
17,4810,4813
17,4820,4822
17,4830,4839
17,4840,4841
17,4890,4890
17,4891,4891
17,4892,4892
17,4899,4899
17,4950,4959
17,4960,4961
17,4970,4971
17,4991,4991
17,5040,5042
17,5043,5043
17,5044,5044
17,5045,5045
17,5046,5046
17,5047,5047
17,5048,5048
17,5049,5049
17,5082,5082
17,5083,5083
17,5084,5084
17,5085,5085
17,5086,5087
17,5088,5088
17,5090,5090
17,5091,5092
17,5093,5093
17,5100,5100
17,5110,5113
17,5199,5199
17,7000,7000
17,7010,7011
17,7020,7021
17,7030,7033
17,7040,7041
17,7200,7200
17,7210,7212
17,7213,7213
17,7215,7216
17,7217,7217
17,7218,7218
17,7219,7219
17,7220,7221
17,7230,7231
17,7240,7241
17,7250,7251
17,7260,7269
17,7290,7290
17,7291,7291
17,7299,7299
17,7300,7300
17,7310,7319
17,7320,7323
17,7330,7338
17,7340,7342
17,7349,7349
17,7350,7351
17,7352,7352
17,7353,7353
17,7359,7359
17,7360,7369
17,7370,7372
17,7373,7373
17,7374,7374
17,7375,7375
17,7376,7376
17,7377,7377
17,7378,7378
17,7379,7379
17,7380,7380
17,7381,7382
17,7383,7383
17,7384,7384
17,7385,7385
17,7389,7390
17,7391,7391
17,7392,7392
17,7393,7393
17,7394,7394
17,7395,7395
17,7397,7397
17,7399,7399
17,7500,7500
17,7510,7519
17,7520,7523
17,7530,7539
17,7540,7549
17,7600,7600
17,7620,7620
17,7622,7622
17,7623,7623
17,7629,7629
17,7630,7631
17,7640,7641
17,7690,7699
17,7800,7829
17,7830,7833
17,7840,7841
17,7900,7900
17,7910,7911
17,7920,7929
17,7930,7933
17,7940,7949
17,7980,7980
17,7990,7999
17,8000,8099
17,8100,8199
17,8200,8299
17,8300,8399
17,8400,8499
17,8600,8699
17,8700,8700
17,8710,8713
17,8720,8721
17,8730,8734
17,8740,8748
17,8800,8899
17,8900,8910
17,8911,8911
17,8920,8999
